<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
USDRUB;60;20150127;100000;67.0375000
USDRUB;60;20150127;110000;67.1502000
USDRUB;60;20150127;120000;66.9429000
USDRUB;60;20150127;130000;67.6250000
USDRUB;60;20150127;140000;68.1036000
USDRUB;60;20150127;150000;67.3190000
USDRUB;60;20150127;160000;67.7279000
USDRUB;60;20150127;170000;67.8245000
USDRUB;60;20150127;180000;67.8390000
USDRUB;60;20150127;190000;67.7557000
USDRUB;60;20150127;200000;67.6660000
USDRUB;60;20150127;210000;67.7016000
USDRUB;60;20150127;220000;67.1774000
USDRUB;60;20150127;230000;66.7615000
USDRUB;60;20150128;000000;66.4829000
USDRUB;60;20150128;010000;66.6220000
USDRUB;60;20150128;020000;66.7018000
USDRUB;60;20150128;030000;66.6364000
USDRUB;60;20150128;040000;67.2227000
USDRUB;60;20150128;050000;66.7168000
USDRUB;60;20150128;060000;67.1854000
USDRUB;60;20150128;070000;67.2855000
USDRUB;60;20150128;080000;67.2860000
USDRUB;60;20150128;090000;67.2865000
USDRUB;60;20150128;100000;66.4884000
USDRUB;60;20150128;110000;66.4396000
USDRUB;60;20150128;120000;66.4880000
USDRUB;60;20150128;130000;66.7170000
USDRUB;60;20150128;140000;67.2646000
USDRUB;60;20150128;150000;67.4313000
USDRUB;60;20150128;160000;67.3421000
USDRUB;60;20150128;170000;67.2079000
USDRUB;60;20150128;180000;67.4884000
USDRUB;60;20150128;190000;67.6049000
USDRUB;60;20150128;200000;67.8636000
USDRUB;60;20150128;210000;67.9658000
USDRUB;60;20150128;220000;67.5600000
USDRUB;60;20150128;230000;67.7791000
USDRUB;60;20150129;000000;67.8621000
USDRUB;60;20150129;010000;67.8721000
USDRUB;60;20150129;020000;67.9797000
USDRUB;60;20150129;030000;67.4456000
USDRUB;60;20150129;040000;67.2628000
USDRUB;60;20150129;050000;67.4262000
USDRUB;60;20150129;060000;67.4938000
USDRUB;60;20150129;070000;67.4929000
USDRUB;60;20150129;080000;67.4934000
USDRUB;60;20150129;090000;67.4731000
USDRUB;60;20150129;100000;67.4743000
USDRUB;60;20150129;110000;67.4738000
USDRUB;60;20150129;120000;67.5804000
USDRUB;60;20150129;130000;67.7619000
USDRUB;60;20150129;140000;68.8285000
USDRUB;60;20150129;150000;69.0179000
USDRUB;60;20150129;160000;68.7546000
USDRUB;60;20150129;170000;69.1565000
USDRUB;60;20150129;180000;69.2550000
USDRUB;60;20150129;190000;69.1592000
USDRUB;60;20150129;200000;68.8993000
USDRUB;60;20150129;210000;68.7293000
USDRUB;60;20150129;220000;69.0316000
USDRUB;60;20150129;230000;69.1261000
USDRUB;60;20150130;000000;69.0173000
USDRUB;60;20150130;010000;68.7045000
USDRUB;60;20150130;020000;68.6341000
USDRUB;60;20150130;030000;68.5961000
USDRUB;60;20150130;040000;68.8500000
USDRUB;60;20150130;050000;68.3840000
USDRUB;60;20150130;060000;68.4375000
USDRUB;60;20150130;070000;68.4691000
USDRUB;60;20150130;080000;68.4698000
USDRUB;60;20150130;090000;68.4718000
USDRUB;60;20150130;100000;68.4891000
USDRUB;60;20150130;110000;68.4887000
USDRUB;60;20150130;120000;68.4886000
USDRUB;60;20150130;130000;68.0500000
USDRUB;60;20150130;140000;68.9572000
USDRUB;60;20150130;150000;69.1790000
USDRUB;60;20150130;160000;69.7916000
USDRUB;60;20150130;170000;70.7653000
